Temporada,Minutos,Rebotes,Assistencias,Bloqueios,Desarmes,Faltas,Tunovers,Pontos,FG_Tentativas,FG_Acertos,3PT_Tentativas,3PT_Acertos,FT_Tentativas,FT_Acertos,Adversario,Placar,V_D,Casa_Fora,Dia_semana,Mes,%FG,%3PT,%FT
2023,36.0,18.0,13.0,0.0,2.0,3.0,7.0,24.0,13,8,2,2,6,6,CLE,115-109,V,fora,4,2,0.62,1.0,1.0
2023,20.0,5.0,6.0,0.0,2.0,0.0,2.0,4.0,4,2,1,0,0,0,GIA,184-175,D,casa,0,2,0.5,0.0,
2023,34.0,13.0,10.0,1.0,1.0,2.0,5.0,14.0,9,6,0,0,3,2,DAL,118-109,V,casa,3,2,0.67,,0.67
2023,34.0,12.0,8.0,0.0,0.0,3.0,0.0,27.0,14,12,0,0,3,3,MIA,112-108,V,fora,1,2,0.86,,1.0
2023,34.0,16.0,10.0,2.0,0.0,1.0,4.0,30.0,22,11,0,0,9,8,CHA,119-105,V,fora,6,2,0.5,,0.89
2023,38.0,12.0,6.0,2.0,1.0,3.0,7.0,29.0,19,10,5,3,9,6,ORL,115-104,D,fora,4,2,0.53,0.6,0.67
2023,28.0,12.0,16.0,1.0,1.0,1.0,1.0,20.0,10,8,1,0,5,4,MIN,146-112,V,casa,2,2,0.8,0.0,0.8
2023,34.0,18.0,10.0,2.0,1.0,3.0,5.0,14.0,8,5,1,0,5,4,ATL,128-108,V,casa,6,2,0.62,0.0,0.8
2023,33.0,14.0,16.0,1.0,1.0,0.0,3.0,22.0,13,9,0,0,5,4,GS,134-117,V,casa,4,2,0.69,,0.8
2023,38.0,18.0,15.0,1.0,1.0,2.0,5.0,26.0,14,10,3,1,5,5,NO,122-113,V,casa,2,2,0.71,0.33,1.0
2023,38.0,8.0,9.0,2.0,0.0,2.0,7.0,24.0,12,8,2,2,6,6,PHI,126-119,D,fora,5,1,0.67,1.0,1.0
2023,36.0,11.0,10.0,0.0,1.0,2.0,3.0,25.0,15,11,4,2,2,1,NO,99-98,V,fora,2,1,0.73,0.5,0.5
2023,31.0,11.0,13.0,0.0,1.0,5.0,3.0,31.0,20,12,0,0,7,7,MIN,122-118,V,casa,3,1,0.6,,1.0
2023,34.0,12.0,10.0,1.0,1.0,2.0,4.0,36.0,14,13,2,1,10,9,POR,122-113,V,casa,2,1,0.93,0.5,0.9
2023,35.0,10.0,14.0,1.0,2.0,3.0,4.0,17.0,11,8,4,1,0,0,ORL,119-116,V,casa,0,1,0.73,0.25,
2023,28.0,18.0,9.0,0.0,1.0,3.0,3.0,21.0,15,10,0,0,3,1,PHX,126-97,V,casa,3,1,0.67,,0.33
2023,35.0,11.0,16.0,1.0,1.0,2.0,4.0,14.0,5,5,1,1,3,3,LAL,122-109,V,casa,1,1,1.0,1.0,1.0
2023,35.0,15.0,10.0,0.0,2.0,4.0,4.0,28.0,17,10,4,3,5,5,CLE,121-108,V,casa,5,1,0.59,0.75,1.0
2023,24.0,6.0,9.0,0.0,1.0,0.0,2.0,12.0,8,4,1,0,5,4,LAC,122-91,V,casa,4,1,0.5,0.0,0.8
2023,33.0,7.0,9.0,0.0,2.0,4.0,5.0,24.0,20,10,3,1,4,3,MIN,124-111,D,fora,1,1,0.5,0.33,0.75
2023,32.0,12.0,12.0,0.0,1.0,1.0,0.0,30.0,13,10,2,2,8,8,BOS,123-111,V,casa,0,1,0.77,1.0,1.0
2023,36.0,12.0,12.0,1.0,1.0,3.0,3.0,19.0,15,8,3,2,1,1,MIA,124-119,V,casa,5,12,0.53,0.67,1.0
2023,32.0,7.0,6.0,1.0,1.0,3.0,5.0,40.0,24,15,3,0,10,10,SAC,127-126,D,fora,3,12,0.62,0.0,1.0
2023,37.0,9.0,11.0,0.0,1.0,3.0,0.0,20.0,10,7,0,0,6,6,SAC,113-106,V,fora,2,12,0.7,,1.0
2023,44.0,15.0,15.0,1.0,0.0,4.0,3.0,41.0,25,16,4,2,9,7,PHX,128-125,V,casa,0,12,0.64,0.5,0.78
2023,36.0,8.0,11.0,0.0,2.0,4.0,2.0,29.0,21,12,0,0,8,5,POR,120-107,V,casa,5,12,0.57,,0.62
2023,37.0,13.0,13.0,0.0,2.0,1.0,4.0,13.0,12,6,1,1,1,0,MEM,105-91,V,casa,2,12,0.5,1.0,0.0
2023,40.0,27.0,10.0,0.0,2.0,4.0,5.0,40.0,26,13,4,2,17,12,CHA,119-115,V,casa,0,12,0.5,0.5,0.71
2023,35.0,11.0,8.0,0.0,4.0,3.0,5.0,25.0,15,8,3,1,9,8,LAL,126-108,D,fora,5,12,0.53,0.33,0.89
2023,33.0,14.0,8.0,1.0,5.0,2.0,8.0,43.0,20,17,2,0,10,9,WSH,141-128,V,casa,3,12,0.85,0.0,0.9
2023,35.0,12.0,14.0,4.0,1.0,3.0,3.0,31.0,20,11,4,1,10,8,UTAH,115-110,V,casa,6,12,0.55,0.25,0.8
2023,34.0,10.0,9.0,1.0,0.0,1.0,6.0,33.0,25,14,3,1,6,4,POR,121-120,V,fora,4,12,0.56,0.33,0.67
2023,34.0,8.0,8.0,0.0,1.0,1.0,3.0,19.0,13,7,3,0,6,5,DAL,116-115,D,casa,2,12,0.54,0.0,0.83
2023,37.0,16.0,9.0,1.0,2.0,4.0,4.0,32.0,19,13,4,1,9,5,NO,121-106,D,fora,6,12,0.68,0.25,0.56
2023,35.0,10.0,8.0,0.0,1.0,2.0,2.0,24.0,15,10,6,3,4,1,ATL,117-109,D,fora,5,12,0.67,0.5,0.25
2023,28.0,9.0,12.0,1.0,1.0,5.0,4.0,17.0,9,7,3,2,1,1,HOU,120-100,V,casa,3,12,0.78,0.67,1.0
2023,27.0,12.0,8.0,0.0,0.0,2.0,3.0,32.0,17,11,2,1,10,9,HOU,129-113,V,casa,1,11,0.65,0.5,0.9
2023,32.0,13.0,6.0,1.0,2.0,3.0,2.0,19.0,13,7,1,0,7,5,LAC,114-104,V,fora,5,11,0.54,0.0,0.71
2023,43.0,10.0,9.0,0.0,0.0,5.0,4.0,39.0,15,11,3,1,18,16,OKC,131-126,V,fora,3,11,0.73,0.33,0.89
2023,37.0,9.0,10.0,1.0,1.0,3.0,5.0,31.0,16,12,0,0,11,7,DET,110-108,D,casa,2,11,0.75,,0.64
2023,28.0,6.0,14.0,0.0,3.0,0.0,2.0,8.0,4,4,0,0,0,0,CHI,126-103,V,fora,0,11,1.0,,
2023,30.0,8.0,3.0,0.0,0.0,4.0,2.0,29.0,20,12,4,2,4,3,BOS,131-112,D,fora,5,11,0.6,0.5,0.75
2023,21.0,4.0,6.0,1.0,2.0,5.0,1.0,24.0,20,10,3,1,3,3,IND,122-119,V,fora,3,11,0.5,0.33,1.0
2023,34.0,8.0,10.0,3.0,2.0,2.0,4.0,26.0,20,11,1,0,5,4,SA,115-109,V,fora,1,11,0.55,0.0,0.8
2023,27.0,6.0,10.0,0.0,2.0,2.0,4.0,21.0,10,9,1,1,2,2,SA,126-101,V,casa,6,11,0.9,1.0,1.0
2023,36.0,13.0,14.0,0.0,1.0,3.0,10.0,15.0,9,6,0,0,3,3,OKC,122-110,V,fora,4,11,0.67,,1.0
2023,36.0,14.0,6.0,2.0,0.0,0.0,2.0,23.0,16,8,5,1,7,6,LAL,121-110,D,fora,0,10,0.5,0.2,0.86
2023,25.0,10.0,6.0,1.0,1.0,1.0,1.0,12.0,10,3,4,0,8,6,UTAH,117-101,V,casa,5,10,0.3,0.0,0.75
2023,35.0,13.0,9.0,0.0,4.0,3.0,3.0,31.0,17,12,4,0,7,7,LAL,110-99,V,casa,3,10,0.71,0.0,1.0
2023,27.0,9.0,9.0,0.0,0.0,5.0,1.0,9.0,4,3,0,0,3,3,POR,135-110,D,fora,1,10,0.75,,1.0
2023,39.0,16.0,13.0,1.0,1.0,2.0,3.0,19.0,10,6,1,1,9,6,OKC,122-117,V,casa,6,10,0.6,1.0,0.67
2023,34.0,12.0,10.0,0.0,0.0,4.0,5.0,26.0,13,7,2,1,11,11,GS,128-123,V,fora,5,10,0.54,0.5,1.0
2023,33.0,4.0,6.0,0.0,3.0,4.0,3.0,27.0,17,12,3,1,2,2,UTAH,123-102,D,fora,3,10,0.71,0.33,1.0
