Temporada,Date,ADV,Resultado,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,V,BLK,STL,PF,TO,PTS,Estat. Temporada Regular
2016,Qui 24/12,emPHX,V104-96,22.0,5-7,71.4,1-2,50.0,2-2,100.0,9.0,2.0,0.0,1.0,3.0,2.0,13.0,
2016,Qua 23/12,xLAL,D111-107,30.0,5-7,71.4,0-0,0.0,5-6,83.3,10.0,5.0,0.0,0.0,1.0,3.0,15.0,
2016,Seg 21/12,xNO,D130-125,23.0,6-8,75.0,0-1,0.0,1-2,50.0,3.0,2.0,1.0,0.0,2.0,0.0,13.0,
2016,Sáb 19/12,emUTAH,D97-88,21.0,1-5,20.0,0-2,0.0,5-6,83.3,10.0,0.0,0.0,1.0,3.0,2.0,7.0,
2016,Qua 16/12,emMIN,V112-100,21.0,3-4,75.0,0-0,0.0,0-0,0.0,3.0,2.0,2.0,2.0,3.0,2.0,6.0,
2016,Ter 15/12,xHOU,V114-108,22.0,3-3,100.0,0-0,0.0,3-3,100.0,7.0,1.0,0.0,1.0,1.0,1.0,9.0,
2016,Sáb 12/12,xMIN,V111-108 TE,25.0,5-10,50.0,1-2,50.0,8-8,100.0,6.0,4.0,0.0,1.0,5.0,2.0,19.0,
2016,Qua 9/12,xORL,D85-74,17.0,2-6,33.3,0-0,0.0,0-0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,4.0,
2016,Sex 4/12,emTOR,V106-105,14.0,4-7,57.1,0-0,0.0,0-0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,
2016,Qui 3/12,emCHI,D99-90,10.0,3-6,50.0,1-1,100.0,0-0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,7.0,
2016,december,december,december,20.6,4.1-7.6,53.8,0.4-0.8,45.5,2.2-2.6,86.1,6.0,1.9,0.6,0.6,2.4,1.5,10.7,
2016,Ter 1/12,emMIL,D92-74,25.0,4-7,57.1,0-1,0.0,0-2,0.0,6.0,2.0,2.0,0.0,1.0,1.0,8.0,
2016,Dom 29/11,emDAL,D92-81,19.0,2-3,66.7,1-1,100.0,3-4,75.0,6.0,0.0,0.0,1.0,3.0,3.0,8.0,
2016,Sáb 28/11,xSA,D91-80,12.0,3-4,75.0,0-0,0.0,0-0,0.0,2.0,0.0,0.0,0.0,4.0,3.0,6.0,
2016,Qua 25/11,xLAC,D111-94,24.0,7-13,53.8,0-1,0.0,2-3,66.7,6.0,2.0,0.0,0.0,5.0,1.0,16.0,
2016,Seg 23/11,xGS,D118-105,27.0,3-7,42.9,0-0,0.0,5-7,71.4,11.0,2.0,1.0,2.0,0.0,1.0,11.0,
2016,Sáb 21/11,xPHX,D114-107,18.0,2-6,33.3,0-1,0.0,2-2,100.0,4.0,1.0,0.0,1.0,3.0,0.0,6.0,
2016,Qui 19/11,emSA,D109-98,32.0,8-13,61.5,1-1,100.0,6-6,100.0,12.0,0.0,3.0,2.0,2.0,0.0,23.0,
2016,Qua 18/11,emNO,V115-98,1.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
2016,Dom 15/11,emPHX,D105-81,18.0,2-3,66.7,0-0,0.0,0-0,0.0,6.0,0.0,0.0,3.0,3.0,0.0,4.0,
2016,Sáb 14/11,xHOU,V107-98,6.0,1-3,33.3,0-1,0.0,1-2,50.0,5.0,0.0,0.0,0.0,2.0,1.0,3.0,
2016,Qui 12/11,xMIL,V103-102,14.0,4-7,57.1,0-0,0.0,0-1,0.0,5.0,4.0,0.0,2.0,0.0,2.0,8.0,
2016,Ter 10/11,xPOR,V108-104,16.0,3-3,100.0,0-0,0.0,4-4,100.0,2.0,1.0,0.0,2.0,2.0,1.0,10.0,
2016,Sáb 7/11,emGS,D119-104,17.0,2-4,50.0,0-0,0.0,0-2,0.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,
2016,Sex 6/11,xUTAH,D96-84,18.0,1-4,25.0,0-0,0.0,3-4,75.0,3.0,0.0,1.0,0.0,1.0,1.0,5.0,
2016,Seg 2/11,emOKC,D117-93,24.0,4-9,44.4,0-0,0.0,0-0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,8.0,
